"","Origin","Dest","totalFlights"
"1","LAX","LAS",359359
"2","PHX","LAX",323209
"3","SFO","LAX",316112
"4","ORD","MSP",297660
"5","PHX","LAS",291118
"6","ORD","LGA",277085
"7","OAK","LAX",265115
"8","HOU","DAL",261805
"9","ORD","EWR",253249
"10","ORD","LAX",249095
"11","DFW","ATL",248760
"12","LGA","BOS",244809
"13","ORD","DFW",242486
"14","LGA","DCA",235183
"15","PHL","ORD",227136
"16","ORD","ATL",219912
"17","ORD","BOS",216610
"18","SAN","LAX",216287
"19","SJC","LAX",214860
"20","ORD","DCA",209630
"21","LAX","JFK",201452
"22","EWR","ATL",199664
"23","SAN","PHX",197732
"24","DFW","DEN",194550
"25","ORD","DTW",193243
"26","IAH","DFW",190730
"27","LGA","ATL",190686
"28","DCA","BOS",190570
"29","SFO","SEA",181778
"30","ORD","DEN",178703
"31","SEA","LAX",177726
"32","LAX","DFW",177667
"33","PHX","ONT",171660
"34","SEA","ANC",168776
"35","PHL","BOS",168115
"36","SFO","ORD",167198
"37","PHX","DEN",164364
"38","PHL","ATL",162877
"39","PHX","DFW",159811
"40","MCO","ATL",158214
"41","PHX","ABQ",155673
"42","LAX","DEN",154595
"43","STL","ORD",153847
"44","MIA","ATL",153244
"45","DFW","AUS",151346
"46","ORD","IAH",151239
"47","MSY","HOU",150074
"48","SLC","PHX",149897
"49","LGA","DFW",148087
"50","DCA","ATL",147699
